net,length_um
net54,699.495
net56,697.3
net65,685.415
net53,662.83
_03309_,636.095
_01355_,619.845
_01354_,591.895
net68,583.145
_03379_,565.85
_03864_,550.91
_04861_,548.81
net43,547.05
net67,533.63
_06004_,533.5
_01226_,532.195
_01269_,526.06
_01523_,525.93
_01426_,524.71
net6,516.565
_02833_,511.565
net66,508.185
net35,504.1
_01923_,499.87
_04853_,498.715
_01421_,496.045
net44,494.915
net42,489.865
net37,488.5
_01856_,485.76
_01411_,484.855
_01218_,482.83
_01495_,482.405
net7,475.115
_01884_,473.15
_04691_,472.075
net30,469.33
_01626_,466.64
_04648_,463.485
_01428_,462.265
_04865_,459.195
net19,456.44
_01302_,454.125
_01671_,453.5
net3,451.305
_01519_,449.255
_04638_,448.89
_01799_,447.79
_04625_,447.065
net13,446.255
_04867_,445.495
_01632_,443.315
_02355_,443.08
_01409_,436.64
_01701_,435.585
_01886_,433.235
_01215_,431.29
net47,430.265
_02855_,430.185
_02846_,426.875
net50,426.55
_06280_,425.23
_04681_,422.68
_01629_,418.865
_01439_,417.785
_01339_,416.3
_01424_,416.125
_01645_,410.105
_04633_,405.93
_01435_,404.65
_04724_,403.88
net28,402.66
_185_\[27\],399.81
_01710_,397.88
_185_\[28\],393.975
_01520_,393.155
_01427_,392.285
net15,391.135
_01675_,388.77
net9,387.46
_01405_,386.87
_01437_,382.525
_02252_,382.465
_01217_,381.795
net8,381.535
_01408_,381.19
_04848_,380.5
_185_\[25\],379.635
_06390_,379.51
_04692_,379.305
net63,378.675
_01368_,377.08
net46,377.055
_01361_,376.985
net23,375.395
_01678_,374.7
_01638_,372.94
_02711_,372.12
_01635_,368.205
net16,365.53
_185_\[22\],364.99
_01801_,364.56
_01406_,363.815
_02216_,359.99
_06247_,359.92
_185_\[21\],358.395
_185_\[20\],357.82
_01623_,356.03
_185_\[26\],355.8
_01681_,355.475
_185_\[18\],351.48
net11,350
_01480_,348.965
_185_\[17\],347.77
_01436_,347.41
net21,346.4
_185_\[30\],345.055
_185_\[19\],344.03
_01642_,339.955
_01664_,339.87
_185_\[24\],339.65
_04872_,338.005
_185_\[29\],337.71
_02858_,337.52
net41,336.4
_01274_,334.465
_06423_,333.605
_04629_,331.155
_05279_,330.13
_01660_,329.03
_185_\[23\],328.92
_01417_,328.305
_04631_,327.505
_06313_,324.745
_02392_,322.88
_02827_,321.995
_02849_,319.29
_01353_,318.125
_05263_,316.39
clk,315.175
_02862_,314.71
_185_\[16\],313.945
clknet_4_4_0_clk,313.745
net57,313.47
_02192_,312.855
_00105_,312.66
_02271_,310.975
_02431_,309.765
_01687_,309.745
_03866_,309.695
_05352_,309.165
_02380_,307.22
_01394_,307.16
_04855_,306.135
_185_\[15\],304.065
_01213_,302.42
_02852_,301.89
clknet_4_5_0_clk,299.66
_01362_,297.865
_06200_,297.53
clknet_4_11_0_clk,297.5
_01657_,297.445
_02495_,296.91
_01707_,296.77
clknet_4_14_0_clk,295.95
net5,295.83
_01616_,295.57
_02371_,295.085
net36,294.33
_05067_,293.21
clknet_4_12_0_clk,291
_01216_,290.255
net39,289.25
_02311_,289.085
_04683_,287.91
_04682_,287.895
_04627_,287.22
_04630_,287.075
_02460_,285.61
_02776_,283.91
_01358_,283.64
_04678_,283.335
_02337_,282.28
_02549_,280.705
net1,280.04
_02865_,279.93
_01366_,278.055
_02300_,277.83
_02861_,277.31
_179_\[20\],276.545
_02842_,276.185
net48,275.965
_01620_,275.545
clknet_4_3_0_clk,275.05
net27,274.67
_01420_,273.8
_04636_,273.72
_01693_,273.575
_185_\[14\],273.015
_01704_,272.185
_01404_,271.785
_05194_,271.59
_02834_,271.35
_01367_,270.955
_01694_,270.92
net17,270.155
_05028_,269.495
_05262_,268.665
_02448_,268.265
_02002_,268.22
_02514_,267.975
_02582_,266.51
_05625_,266.38
_185_\[1\],266.315
_01392_,266.115
_05742_,265.38
net4,264.315
_01973_,263.93
_06335_,263.57
clknet_4_15_0_clk,263.1
